trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.4199999999999995, 'e': 0.4199999999999995}",25,10,11.933329097272084,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.4099999999999995, 'e': 0.4099999999999995}",35,21,-7.786544385145393,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.39999999999999947, 'e': 0.39999999999999947}",20,8,10.402986750407285,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.38999999999999946, 'e': 0.38999999999999946}",25,0,24.524381039142202,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
62,False,"{'a': 0.37999999999999945, 'e': 0.37999999999999945}",30,4,-67.37560051691716,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 1}",1
63,False,"{'a': 0.36999999999999944, 'e': 0.36999999999999944}",20,9,17.66845138101569,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.35999999999999943, 'e': 0.35999999999999943}",25,14,18.863361769593176,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.3499999999999994, 'e': 0.3499999999999994}",30,19,20.073049377616147,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.3399999999999994, 'e': 0.3399999999999994}",25,10,-23.419642991566505,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.3299999999999994, 'e': 0.3299999999999994}",20,7,-26.307989649552084,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
68,False,"{'a': 0.3199999999999994, 'e': 0.3199999999999994}",25,9,-38.880376404070105,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
69,False,"{'a': 0.3099999999999994, 'e': 0.3099999999999994}",20,13,5.8604577990646165,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
